age,income,loan_amount,credit_score,employment_years,debt_ratio,num_of_past_defaults,loan_purpose,default
59,73387.37,1006.56,675,17,0.173,0,车贷,0
23,62009.6,1000.0,609,13,0.103,0,消费,0
52,78598.4,13493.53,664,19,0.289,2,房贷,0
30,98208.07,21782.45,533,22,0.609,0,消费,1
30,59712.78,16688.54,712,8,0.232,0,车贷,0
39,28262.91,14572.75,729,2,0.36,1,房贷,1
66,81365.84,9546.83,676,22,0.408,0,创业,0
54,46680.49,17746.89,593,11,0.491,0,房贷,1
53,61851.45,19028.56,692,19,0.499,0,车贷,0
43,82314.68,9812.86,715,16,0.588,0,房贷,0
48,71542.69,3936.69,608,4,0.298,0,消费,0
52,62762.16,3991.96,725,7,0.515,0,消费,0
27,52330.6,19469.24,697,18,0.398,0,消费,0
49,10000.0,1000.0,641,3,0.365,1,车贷,1
28,80363.06,26255.0,621,14,0.447,0,教育,1
21,59435.06,8122.93,647,18,0.273,0,消费,0
23,98293.4,14631.02,592,14,0.506,1,消费,1
44,73756.62,17964.54,678,13,0.3,0,消费,0
43,53095.24,6188.67,699,15,0.369,0,消费,0
28,88471.14,8090.87,742,23,0.429,0,房贷,0
67,90324.85,13121.75,681,9,0.211,0,房贷,0
57,60181.3,4743.37,687,23,0.31,0,消费,0
23,91260.19,2925.05,641,13,0.146,0,教育,0
53,52783.22,3688.85,599,19,0.586,0,车贷,1
48,68512.25,22277.74,630,10,0.083,1,教育,1
67,77570.98,15382.36,760,1,0.165,0,车贷,0
28,82265.19,5258.08,704,18,0.292,0,消费,0
54,78673.48,19418.46,689,2,0.496,0,车贷,0
55,57681.54,5729.08,533,3,0.216,0,消费,1
52,89061.35,1000.0,682,10,0.276,0,房贷,0
44,62262.6,17922.88,567,12,0.116,0,消费,1
34,52481.4,25992.96,572,17,0.243,0,消费,1
52,52804.56,16743.34,580,17,0.355,0,教育,1
66,107679.74,1000.0,606,18,0.578,0,车贷,0
63,48676.36,11799.78,718,11,0.183,0,房贷,0
36,93415.97,9666.09,676,0,0.807,0,房贷,0
24,40019.73,15214.8,594,23,0.359,0,房贷,1
57,75733.92,4798.21,619,5,0.236,0,房贷,0
41,71535.84,9165.44,695,2,0.446,0,消费,0
34,100666.99,1000.0,709,16,0.321,0,创业,0
51,50603.16,13885.05,669,2,0.423,0,房贷,1
68,44525.39,1000.0,580,0,0.402,0,房贷,1
38,62436.77,15718.11,631,2,0.567,1,消费,1
27,101625.64,5620.35,827,3,0.326,0,消费,0
30,45548.51,1000.0,575,5,0.402,1,车贷,1
27,10000.0,18746.94,686,6,0.178,0,创业,1
53,66314.89,16199.34,808,22,0.339,0,教育,0
43,85889.5,23500.01,641,24,0.329,0,消费,0
41,42696.27,1000.0,788,7,0.578,0,消费,0
39,83654.51,6436.33,612,12,0.257,1,房贷,1
68,42209.96,13118.54,522,3,0.272,0,教育,1
39,61775.71,16859.5,619,5,0.361,0,房贷,0
56,81559.01,1000.0,607,10,0.468,0,教育,1
49,38875.76,15667.41,543,0,0.385,0,房贷,1
38,68993.29,7139.9,631,7,0.504,0,车贷,0
22,91729.42,1000.0,729,21,0.167,0,车贷,0
21,75426.55,5619.21,618,1,0.413,0,车贷,1
67,49146.23,16372.21,634,7,0.426,0,房贷,1
25,98411.8,1000.0,756,19,0.718,1,消费,0
40,79484.64,17414.94,608,8,0.185,0,车贷,0
31,24070.14,14408.71,703,3,0.513,0,消费,1
62,84013.36,9842.2,540,16,0.406,1,消费,1
22,52429.77,1000.0,592,6,0.163,0,房贷,0
23,69324.4,1000.0,645,9,0.458,0,车贷,0
43,87176.09,8612.91,745,4,0.381,0,消费,0
32,52908.7,2438.01,596,9,0.455,1,教育,1
40,28796.96,9163.05,595,11,0.704,0,消费,1
25,98121.99,19702.55,679,20,0.312,1,教育,0
57,90620.84,9679.32,690,19,0.093,0,消费,0
58,63080.37,9446.22,588,5,0.196,0,消费,1
50,83775.27,9452.95,623,0,0.324,0,房贷,0
29,56873.49,20613.92,736,2,0.572,0,消费,0
54,67133.34,22993.64,577,6,0.495,0,房贷,1
64,61825.67,15586.44,684,10,0.521,0,车贷,0
55,57763.23,13161.03,624,23,0.444,0,房贷,1
42,72904.66,13951.28,758,11,0.408,1,教育,0
64,38420.07,24137.59,701,8,0.219,0,消费,0
44,59465.22,16048.15,722,0,0.43,0,房贷,0
37,71918.55,24940.73,622,3,0.466,0,消费,0
30,105438.22,8437.78,718,1,0.746,0,房贷,0
50,39314.25,1000.0,716,1,0.437,1,房贷,0
66,76452.17,6312.99,696,16,0.472,1,创业,0
43,78863.27,7216.23,640,20,0.299,0,房贷,0
52,23712.19,25638.49,671,1,0.246,0,房贷,1
37,74031.7,18259.52,530,3,0.308,0,房贷,1
37,84366.27,6581.62,783,24,0.626,0,车贷,0
34,77950.36,18871.5,618,10,0.575,0,车贷,1
29,63153.6,10898.56,637,18,0.444,0,房贷,0
60,72331.28,25893.69,568,23,0.439,0,教育,1
22,68736.58,9163.54,707,12,0.644,0,车贷,0
65,27831.94,1000.0,697,21,0.497,0,消费,0
45,69253.05,10412.62,639,20,0.172,1,消费,0
59,56924.45,9168.19,497,17,0.185,1,车贷,1
29,49493.91,1000.0,610,18,0.513,0,教育,0
42,119669.34,16980.25,692,23,0.067,1,车贷,0
63,92557.55,24110.11,678,14,0.308,0,房贷,0
66,39696.21,2458.88,657,11,0.519,0,消费,0
24,72626.0,20268.04,630,24,0.146,0,消费,0
46,97076.56,6843.64,549,10,0.629,0,房贷,1
49,32083.62,11789.89,727,22,0.37,0,房贷,0
65,66693.63,10896.94,559,0,0.312,0,车贷,1
54,67729.6,11789.96,646,15,0.358,0,消费,0
43,36961.16,16021.2,588,12,0.033,1,消费,1
57,73350.11,3294.45,730,5,0.344,1,车贷,0
31,89557.42,22993.05,701,22,0.251,0,房贷,0
26,98177.05,16280.11,635,5,0.122,0,车贷,0
38,59513.99,19102.45,708,9,0.132,0,消费,0
41,120036.19,5369.44,556,1,0.469,1,教育,1
62,19724.73,2524.42,654,24,0.406,1,房贷,0
56,72836.77,22053.06,586,2,0.393,1,房贷,1
61,33929.52,2159.13,732,5,0.277,0,车贷,0
58,66984.02,13269.09,686,15,0.738,1,房贷,0
54,53518.05,20661.46,705,5,0.391,0,消费,0
37,76151.3,10922.18,621,23,0.202,0,车贷,0
57,62208.62,21945.66,712,12,0.21,1,消费,0
45,46828.35,9691.75,582,3,0.465,0,消费,1
58,48273.6,1141.95,592,14,0.198,0,车贷,0
32,107514.11,15180.47,648,5,0.424,0,消费,0
43,74757.52,13685.52,595,0,0.124,0,车贷,1
62,27553.17,34847.8,710,8,0.189,0,房贷,0
42,77117.33,3966.57,627,11,0.309,0,创业,0
41,60717.11,9859.3,584,24,0.124,0,教育,0
47,65101.22,5787.64,575,22,0.127,0,房贷,0
51,83037.54,10788.88,709,10,0.295,0,车贷,0
26,91031.0,10446.18,482,12,0.099,0,房贷,1
47,46106.12,4585.45,589,0,0.095,0,车贷,1
60,64345.68,15980.02,758,18,0.176,0,房贷,0
54,52985.56,10179.78,636,20,0.224,1,房贷,1
32,78130.97,23436.61,710,3,0.426,0,消费,0
65,59889.3,6487.26,690,4,0.227,0,消费,0
27,65643.53,27821.67,647,22,0.465,0,车贷,1
30,59053.91,14344.93,544,24,0.436,0,教育,1
65,62665.37,22806.33,567,16,0.675,0,房贷,1
37,102502.32,12981.35,566,4,0.249,0,房贷,0
46,117596.86,5364.44,694,18,0.493,0,教育,0
41,73296.03,9760.07,707,2,0.313,1,消费,0
48,62800.66,1000.0,598,10,0.368,0,房贷,0
66,29895.99,11051.96,654,1,0.273,0,车贷,0
22,48270.8,13462.79,661,21,0.419,0,创业,0
63,62211.81,12388.64,665,13,0.155,0,消费,0
21,49268.61,23306.34,607,5,0.599,0,房贷,1
56,51582.18,10732.36,775,18,0.124,1,车贷,0
46,99658.57,1000.0,707,0,0.482,0,创业,0
49,65633.4,42124.55,665,6,0.431,0,房贷,1
41,67600.66,6129.83,624,1,0.192,0,教育,0
31,50167.81,20234.33,602,23,0.219,0,车贷,1
60,90905.98,1000.0,688,18,0.112,0,教育,0
31,60323.27,14084.3,627,0,0.37,0,房贷,0
56,53541.0,5246.36,669,8,0.622,2,消费,1
69,30223.48,1000.0,527,20,0.562,0,房贷,1
59,63655.76,9596.12,623,16,0.302,0,消费,0
60,52854.72,11574.44,652,9,0.036,0,车贷,0
55,102060.75,10139.47,728,5,0.5,0,车贷,0
54,105565.77,14066.46,595,2,0.308,0,消费,1
67,37823.83,9709.18,556,19,0.095,0,创业,0
44,40312.63,12587.77,691,23,0.375,0,消费,0
42,58920.97,13445.95,656,14,0.209,0,房贷,0
25,47047.17,11700.99,539,20,0.526,1,教育,1
53,69783.16,10548.41,543,21,0.239,0,消费,1
56,57814.28,4403.95,615,19,0.205,1,教育,0
67,71171.71,17052.79,654,5,0.416,0,消费,0
40,87354.06,9594.52,757,2,0.104,0,创业,0
39,41587.13,8907.48,584,9,0.163,0,车贷,1
55,86894.65,16354.5,698,11,0.465,0,消费,0
63,48969.65,13801.64,523,0,0.093,0,房贷,1
37,112266.62,6065.13,685,21,0.159,0,消费,0
65,100661.47,22630.6,765,15,0.275,0,消费,0
63,62512.23,1891.6,670,16,0.162,0,教育,0
54,43801.16,3232.47,613,9,0.27,0,消费,0
29,39592.95,17681.01,746,11,0.236,0,消费,0
46,84219.83,26884.65,684,18,0.157,0,教育,0
22,64331.14,7092.08,671,7,0.582,0,创业,0
29,85391.07,15508.98,589,22,0.179,1,房贷,1
29,113493.04,1864.91,685,7,0.534,0,创业,0
60,48051.58,4103.62,612,9,0.307,0,房贷,1
37,37936.96,21623.68,682,9,0.578,1,教育,1
21,69236.33,15108.99,663,17,0.083,0,房贷,0
45,90184.71,21887.45,736,9,0.282,0,车贷,0
63,44309.87,21233.62,620,6,0.218,0,消费,1
60,65761.74,1000.0,650,3,0.515,0,房贷,1
62,95140.96,1834.39,716,0,0.257,0,创业,0
45,29076.69,14333.04,643,10,0.388,0,车贷,1
59,70177.0,1000.0,658,18,0.443,0,车贷,0
55,53117.73,3038.41,632,4,0.257,0,消费,0
23,67731.45,24129.22,649,7,0.381,0,消费,0
57,80615.25,7396.69,707,1,0.621,0,消费,0
64,69857.79,18037.54,789,1,0.282,0,房贷,0
64,42775.11,11760.57,543,23,0.402,0,消费,1
50,53972.58,6220.54,571,13,0.26,0,车贷,0
58,96385.05,1000.0,650,8,0.688,0,创业,1
54,72236.52,13983.07,663,9,0.528,1,消费,1
32,83487.02,24364.15,645,12,0.38,0,消费,0
39,70506.5,6462.02,621,0,0.155,1,消费,1
57,82800.55,12583.09,574,13,0.374,0,消费,1
64,56284.79,1000.0,617,1,0.578,0,消费,1
69,48114.74,6286.51,717,3,0.324,1,消费,0
37,81801.35,14897.49,667,18,0.205,0,房贷,0
30,89802.23,18321.58,707,0,0.823,0,车贷,0
69,44885.81,16725.56,576,3,0.366,0,车贷,1
67,52329.21,1000.0,761,10,0.188,0,消费,0
32,61409.02,8116.05,621,12,0.205,0,教育,0
36,100636.14,3778.11,693,17,0.205,0,消费,0
44,77388.98,9373.26,651,9,0.299,0,消费,0
39,35870.09,11054.87,622,4,0.501,0,教育,1
28,62954.38,21063.99,690,0,0.2,0,房贷,0
51,59590.67,14509.51,702,13,0.469,0,房贷,0
41,39188.07,24051.57,848,15,0.345,0,房贷,0
37,62694.58,6054.16,705,23,0.481,0,房贷,0
43,58619.18,1000.0,704,17,0.447,0,房贷,0
57,57044.08,24369.56,740,2,0.18,0,消费,0
36,56037.61,15684.37,697,2,0.067,0,房贷,0
26,97370.66,5682.19,657,3,0.669,0,房贷,0
28,56998.53,15721.49,683,6,0.426,0,创业,0
45,66092.76,19099.71,720,12,0.543,0,创业,0
38,63707.18,13013.12,757,8,0.655,0,消费,0
45,53889.63,5803.19,554,2,0.261,0,房贷,1
32,66749.1,8249.27,528,16,0.391,0,消费,1
35,66437.71,14470.28,754,14,0.142,0,教育,0
46,66754.64,13690.55,604,9,0.605,0,房贷,1
61,46096.87,22304.21,544,14,0.414,0,教育,1
65,60465.26,9654.76,537,0,0.104,0,房贷,1
46,81727.08,3808.03,786,21,0.351,0,创业,0
67,61044.03,33904.96,721,20,0.51,0,消费,0
52,68559.2,13483.15,604,9,0.079,1,车贷,1
30,68674.81,19091.23,607,6,0.723,0,车贷,1
36,74182.69,16435.71,664,6,0.305,0,车贷,0
27,77290.32,13585.88,720,2,0.23,0,消费,0
37,61168.69,10064.18,639,6,0.249,0,车贷,0
43,44950.62,1000.0,605,8,0.249,1,房贷,1
46,38188.26,2962.62,739,7,0.15,0,房贷,0
41,87389.1,14797.51,658,2,0.444,1,房贷,1
42,81945.51,1000.0,647,4,0.186,0,创业,0
27,79286.02,12608.76,701,12,0.128,0,创业,0
34,82846.48,17620.46,510,12,0.187,0,车贷,1
35,61445.77,19082.87,693,7,0.339,0,房贷,0
27,51252.72,17084.32,689,17,0.4,2,教育,0
29,43431.04,20146.33,563,6,0.268,0,消费,1
68,41034.3,25647.7,524,9,0.344,0,车贷,1
28,91667.49,21317.0,620,9,0.286,0,教育,0
43,54150.81,13673.07,673,22,0.458,0,房贷,0
49,88206.9,10855.73,680,10,0.284,0,车贷,0
38,60888.51,12974.42,779,11,0.441,0,消费,0
51,50122.69,9658.27,673,12,0.337,0,车贷,0
50,40923.97,21499.44,562,7,0.264,0,教育,1
59,52060.6,16862.85,642,16,0.341,0,消费,0
55,96201.25,8760.85,569,23,0.121,0,消费,0
38,41147.38,23254.75,647,13,0.269,0,房贷,0
62,111568.43,9519.03,759,16,0.53,0,车贷,0
59,46506.64,3960.94,692,18,0.331,0,消费,0
37,81498.9,11908.69,610,15,0.207,1,教育,0
34,61804.47,4994.87,701,8,0.269,0,消费,0
51,57947.69,19957.75,606,19,0.386,0,车贷,0
44,37028.74,4813.83,467,9,0.277,0,房贷,1
55,62835.35,11019.36,574,8,0.427,0,房贷,1
64,39517.71,19987.51,692,0,0.272,0,车贷,1
65,28005.3,5946.28,714,23,0.134,0,车贷,0
54,67631.17,15494.72,780,2,0.492,0,创业,0
23,51020.69,3725.97,684,10,0.286,0,教育,0
57,102055.67,14077.26,754,6,0.482,0,消费,0
63,87000.48,16821.6,704,17,0.577,0,消费,0
60,102343.51,11641.72,726,12,0.285,0,教育,0
46,50020.58,12284.97,737,22,0.223,0,消费,0
43,67995.03,15773.88,694,22,0.186,1,消费,0
64,10000.0,9615.68,735,24,0.267,0,车贷,0
59,58800.35,19561.21,611,17,0.4,0,房贷,0
35,67166.96,23654.7,490,15,0.236,0,创业,1
69,68389.06,4130.83,706,23,0.551,0,消费,0
24,64067.89,27020.01,686,15,0.464,0,消费,0
49,66465.04,9420.35,599,20,0.412,0,消费,0
42,10000.0,28951.93,572,9,0.404,0,消费,1
45,70636.88,9535.7,669,8,0.105,0,教育,0
33,75635.68,18012.72,710,7,0.092,0,创业,0
38,94436.56,17967.09,696,18,0.22,0,消费,0
53,73112.24,8707.85,589,2,0.672,0,消费,1
36,62123.78,12617.33,604,23,0.575,0,教育,0
65,89308.72,24239.15,707,8,0.469,1,创业,0
62,13138.65,9261.45,665,1,0.291,1,消费,1
64,53671.13,8450.86,734,18,0.337,0,消费,0
22,48152.18,2195.53,637,7,0.265,0,房贷,0
55,64240.52,25324.19,712,17,0.246,0,消费,0
62,16628.76,7913.4,657,7,0.428,0,车贷,0
54,94031.98,22199.83,609,4,0.204,0,消费,0
50,59504.18,6888.48,725,5,0.132,0,教育,0
33,72013.53,21932.97,591,9,0.243,0,房贷,1
33,69908.01,18856.47,665,14,0.385,0,教育,0
38,92774.78,10058.33,672,3,0.492,0,教育,1
52,24037.1,5758.65,652,2,0.493,0,消费,0
52,67471.07,6449.24,729,23,0.096,0,教育,0
55,90215.92,6340.7,700,8,0.324,0,教育,0
59,62844.3,21054.06,692,15,0.231,0,消费,0
66,44072.07,13361.96,665,15,0.369,1,消费,0
49,51714.42,2521.46,790,14,0.62,1,创业,0
69,56355.28,9856.87,763,23,0.563,1,车贷,0
49,49136.9,10886.33,724,8,0.145,1,消费,0
64,61638.16,1000.0,713,16,0.224,0,房贷,0
36,98181.44,10329.64,618,20,0.484,0,消费,0
64,51857.98,18147.14,657,11,0.273,0,消费,0
67,54271.17,10830.16,705,22,0.09,0,消费,0
30,75115.17,14162.46,734,7,0.366,0,房贷,0
50,61153.95,16118.36,722,13,0.441,0,创业,0
45,35757.93,9087.88,701,17,0.18,0,创业,0
59,63653.85,18211.41,800,11,0.592,0,车贷,0
40,62824.39,24388.62,651,13,0.447,0,教育,1
25,86464.92,1000.0,731,19,0.144,1,创业,0
21,43612.65,9068.78,722,22,0.306,0,教育,0
50,86611.03,31801.75,691,4,0.168,0,消费,0
69,62847.72,13449.81,694,0,0.363,0,消费,0
23,40625.28,11703.76,692,12,0.107,0,消费,0
65,36206.88,9806.64,610,13,0.155,0,教育,0
34,107556.55,22832.7,688,1,0.283,1,车贷,0
50,61481.85,4018.56,712,15,0.251,0,教育,0
24,85603.09,19872.48,683,4,0.165,2,消费,1
38,27421.37,9647.62,531,21,0.254,1,消费,1
57,123029.29,5626.34,549,0,0.425,0,消费,1
45,84651.38,10035.63,603,11,0.451,0,车贷,1
68,59380.32,11605.77,652,18,0.246,0,消费,0
21,58264.35,7769.18,606,21,0.374,0,车贷,0
66,81161.16,21458.57,705,21,0.517,0,消费,0
35,79898.0,5692.29,743,22,0.254,0,教育,0
29,69015.64,13190.64,753,9,0.435,0,车贷,0
35,65239.33,16568.18,684,11,0.242,0,教育,0
69,77343.48,13102.65,736,18,0.51,0,消费,0
44,26682.52,18563.95,621,15,0.153,0,创业,1
24,56831.96,8314.71,649,16,0.338,0,房贷,0
32,28769.0,17292.33,578,12,0.171,2,教育,1
57,78301.03,17543.94,744,6,0.41,1,教育,0
57,50132.09,20229.02,798,2,0.387,0,教育,0
63,30425.28,1000.0,636,4,0.169,0,创业,0
26,47536.7,16326.89,508,3,0.391,1,教育,1
59,68285.84,19660.79,593,14,0.461,0,消费,1
66,60484.98,8502.6,614,16,0.578,0,消费,1
44,39190.56,7343.52,567,11,0.26,0,房贷,1
31,27492.89,6038.29,588,22,0.246,0,消费,0
33,66626.52,3227.95,674,13,0.44,0,消费,0
54,52223.1,17658.96,706,3,0.355,0,消费,0
45,59322.22,31396.17,515,16,0.492,0,房贷,1
27,61486.93,7273.83,623,10,0.337,0,房贷,0
24,74461.45,8034.34,663,5,0.136,2,消费,0
28,83632.82,12130.87,585,3,0.412,0,车贷,1
40,68223.2,1000.0,677,12,0.553,0,创业,0
49,57949.82,6087.84,652,19,0.412,0,教育,0
65,65544.8,11515.79,629,14,0.314,1,房贷,0
66,57536.79,4401.61,599,17,0.636,1,消费,1
30,28863.83,22178.25,679,16,0.687,0,教育,1
63,89022.82,1002.55,607,18,0.085,0,车贷,0
54,84875.65,19658.55,539,9,0.403,0,房贷,1
46,108743.35,24482.27,662,4,0.157,1,房贷,0
61,115170.98,15244.66,573,11,0.516,0,房贷,1
69,39127.56,10831.67,545,24,0.123,0,消费,0
23,57621.2,14093.4,669,14,0.246,0,消费,0
26,120253.87,8255.21,649,22,0.514,0,房贷,0
25,64107.89,1000.0,599,3,0.189,1,消费,1
25,70372.64,3676.36,676,7,0.379,0,创业,0
67,31535.14,11904.98,690,19,0.111,0,消费,0
43,68306.35,4004.16,677,21,0.386,0,消费,0
69,107502.69,8488.46,674,16,0.228,0,房贷,0
29,93305.77,16073.02,548,5,0.413,0,房贷,1
55,51580.34,13232.71,751,15,0.242,0,车贷,0
40,56281.04,20997.04,699,4,0.334,0,消费,0
69,40120.19,14500.42,593,13,0.304,1,消费,1
62,46274.41,15000.25,659,1,0.449,0,创业,1
55,22975.34,5945.54,672,16,0.185,0,消费,0
38,63133.97,1000.0,657,5,0.334,0,车贷,0
37,98222.43,8490.16,786,10,0.129,0,消费,0
44,72819.5,5818.93,524,1,0.045,0,房贷,1
23,95057.26,10582.48,557,24,0.419,0,消费,1
52,88611.49,2938.67,499,24,0.282,0,车贷,1
55,52970.22,19161.15,666,0,0.441,0,房贷,0
58,48290.85,5787.56,698,4,0.387,0,房贷,0
33,49133.94,8907.96,685,7,0.313,0,创业,0
67,27224.64,11828.37,640,3,0.542,2,消费,1
45,65711.27,21547.0,688,18,0.343,1,房贷,0
29,10000.0,26948.89,639,4,0.489,0,车贷,1
24,78011.14,27533.26,712,4,0.328,0,车贷,0
34,66581.38,1104.74,738,23,0.22,0,房贷,0
57,75371.68,8828.31,595,15,0.34,0,房贷,0
54,88254.36,7211.22,640,21,0.505,1,消费,1
31,69373.48,15147.63,651,17,0.213,0,消费,0
61,100894.58,14628.9,760,10,0.695,0,创业,0
23,78682.81,7044.48,603,16,0.234,0,房贷,0
48,48343.21,6373.54,737,2,0.409,0,创业,0
49,59770.36,3521.81,557,17,0.032,0,车贷,0
29,15251.6,1000.0,747,3,0.586,1,车贷,0
23,45151.81,1000.0,720,18,0.163,1,房贷,0
45,56618.08,19367.58,649,8,0.13,0,创业,0
54,77018.02,24449.99,724,4,0.254,1,创业,0
32,48492.06,23456.79,625,3,0.186,0,消费,0
62,37582.19,19728.49,595,15,0.355,0,房贷,1
29,23474.3,3398.49,779,9,0.394,0,消费,0
35,51878.81,1959.61,622,8,0.422,0,消费,0
60,107918.74,1000.0,707,15,0.338,0,房贷,0
45,70964.35,7042.82,738,19,0.151,0,车贷,0
25,85670.75,12740.4,716,21,0.058,1,消费,0
31,45198.81,3433.83,702,16,0.218,0,消费,0
54,30384.11,15664.25,708,17,0.373,0,消费,0
44,38136.3,17540.79,734,14,0.483,0,教育,0
35,62863.12,7966.83,682,19,0.259,0,教育,0
58,21129.17,1000.0,657,8,0.158,0,消费,0
28,42855.01,23737.88,564,5,0.272,0,消费,1
25,52100.06,12298.71,682,5,0.115,0,房贷,0
68,35939.64,28500.25,732,10,0.414,0,消费,0
46,18278.97,12785.22,583,24,0.043,1,车贷,1
38,71372.38,13378.81,644,19,0.257,0,车贷,0
26,66009.17,3801.78,690,2,0.498,0,房贷,0
57,82138.66,8399.88,766,22,0.238,0,消费,0
68,40570.63,1000.0,579,11,0.127,0,房贷,0
33,81718.3,1000.0,716,14,0.451,1,创业,0
48,98644.69,18299.9,635,6,0.254,1,消费,1
25,70768.72,9598.04,613,24,0.099,0,创业,0
33,51581.4,8407.41,596,21,0.111,0,房贷,0
37,68191.77,5706.38,614,17,0.3,0,消费,0
60,50528.68,8723.05,695,21,0.197,0,创业,0
65,46865.76,21631.04,644,14,0.685,0,车贷,1
52,80031.73,13225.88,710,7,0.393,0,房贷,0
49,61940.89,1969.87,581,21,0.446,1,消费,1
23,91512.1,20758.27,709,8,0.443,0,车贷,0
60,55266.69,26662.83,690,14,0.144,0,车贷,0
54,57494.16,16204.99,554,15,0.498,0,创业,1
60,52536.76,19575.97,765,19,0.084,0,消费,0
47,40355.96,22376.65,684,2,0.041,0,教育,0
33,82917.35,1000.0,714,4,0.446,0,房贷,0
65,113085.66,27846.3,741,2,0.319,0,房贷,0
53,56591.0,21339.92,728,1,0.707,0,车贷,0
26,50029.09,16155.26,651,1,0.641,0,教育,1
44,48602.88,10933.59,711,3,0.837,0,教育,1
39,50045.87,1000.0,533,2,0.261,0,房贷,1
36,101295.24,9183.09,688,8,0.046,0,创业,0
60,49193.43,15811.37,781,22,0.43,0,教育,0
48,52124.13,2612.95,611,21,0.176,0,房贷,0
53,37712.21,11407.15,724,11,0.218,0,消费,0
68,71460.27,1939.9,784,23,0.346,0,房贷,0
61,63520.95,8730.69,708,8,0.425,0,消费,0
33,39982.07,1000.0,732,18,0.415,0,消费,0
63,45357.75,1000.0,550,11,0.116,0,创业,1
65,98724.53,14890.76,595,15,0.253,0,车贷,0
45,65719.57,7072.06,760,22,0.225,0,房贷,0
62,67237.08,7870.78,727,24,0.647,0,房贷,0
56,67324.38,6615.73,695,0,0.435,0,房贷,0
47,95681.76,35146.5,641,9,0.25,0,消费,0
58,42005.28,17162.62,680,24,0.342,0,消费,0
27,56279.3,18075.32,782,22,0.439,0,创业,0
25,61282.77,5408.97,653,9,0.068,0,车贷,0
63,27134.13,16290.38,709,3,0.568,0,消费,0
65,44844.89,10064.37,707,10,0.373,0,房贷,0
51,88026.85,5340.68,613,21,0.144,2,创业,1
43,81724.7,28397.28,619,10,0.167,0,房贷,0
62,85615.47,16868.73,767,10,0.464,0,消费,0
30,52040.02,16439.88,700,21,0.152,0,车贷,0
52,54754.7,3740.26,612,5,0.299,0,房贷,0
63,25662.56,1203.22,638,14,0.632,0,消费,0
50,85502.56,11510.81,591,1,0.426,1,创业,1
59,89126.35,7125.13,735,20,0.066,0,消费,0
51,88846.26,17207.45,642,22,0.355,0,车贷,0
38,100290.01,17773.72,643,21,0.208,0,车贷,0
56,74286.39,12556.78,719,2,0.168,0,房贷,0
22,99251.4,19035.56,542,4,0.37,0,消费,1
34,60589.56,13643.09,657,23,0.46,0,房贷,0
33,26125.77,4590.64,659,10,0.256,0,创业,0
49,83935.94,10314.66,640,20,0.279,0,消费,0
32,25314.44,13153.73,622,11,0.306,0,消费,0
59,68744.45,19895.86,610,2,0.221,1,消费,1
22,86017.12,13912.08,680,8,0.443,0,消费,0
52,72133.69,7142.67,589,2,0.305,0,车贷,1
33,115121.35,20212.46,671,1,0.492,0,车贷,0
66,21749.56,15236.42,621,5,0.379,0,房贷,1
47,63177.07,25138.23,626,23,0.355,0,教育,0
69,65384.02,12741.86,674,5,0.464,0,房贷,0
61,35429.74,3182.71,625,16,0.349,0,消费,0
37,39617.88,22004.32,749,7,0.172,0,房贷,0
60,46407.17,7097.29,650,0,0.486,0,消费,1
51,40807.76,14511.11,733,24,0.239,0,消费,0
54,62624.12,13578.59,607,7,0.241,0,创业,0
44,51734.77,12387.85,605,21,0.665,0,房贷,1
65,71993.98,10556.53,544,14,0.296,0,消费,1
55,79287.47,1000.0,626,17,0.268,0,创业,0
68,77799.14,3482.12,644,12,0.324,0,房贷,0
26,55977.22,21538.12,665,24,0.343,1,创业,1
39,71258.46,15644.81,709,7,0.576,1,车贷,0
50,87772.84,28229.02,704,19,0.41,0,房贷,0
27,74802.42,3179.51,739,17,0.439,0,车贷,0
30,105897.51,11739.42,598,12,0.083,0,房贷,0
61,86607.94,21887.14,662,13,0.23,0,创业,0
52,102804.96,7190.5,590,14,0.542,0,车贷,1
54,10168.45,7874.38,689,5,0.345,0,教育,1
48,67126.87,9506.61,786,0,0.088,0,消费,0
35,57873.48,8214.54,576,6,0.271,0,消费,1
50,62250.45,16520.28,708,0,0.213,0,车贷,0
57,47290.89,1000.0,733,14,0.584,3,消费,1
49,73716.39,25963.17,598,5,0.341,0,房贷,1
42,25216.16,3842.86,691,4,0.271,0,消费,0
24,73875.61,1000.0,635,11,0.273,0,创业,0
40,48022.35,11912.97,652,2,0.236,1,房贷,1
52,53991.51,8792.09,632,21,0.445,0,房贷,0
56,74647.04,10487.17,644,19,0.346,0,教育,0
24,66733.11,14656.9,741,13,0.227,2,房贷,0
47,88186.26,17481.15,654,5,0.229,0,房贷,0
37,43670.92,26336.54,618,3,0.135,0,房贷,1
32,63224.48,6133.8,665,14,0.671,0,教育,0
42,84553.01,18581.47,511,16,0.155,0,房贷,1
37,72946.39,18025.96,603,4,0.279,0,教育,1
30,74363.07,1000.0,747,23,0.37,0,教育,0
21,89376.94,4917.85,650,5,0.354,0,消费,0
42,56062.67,1060.67,627,9,0.29,0,创业,0
46,51429.72,15807.09,672,8,0.176,0,教育,0
38,77669.9,14871.52,712,3,0.159,0,车贷,0
34,61712.51,15042.39,753,8,0.308,1,车贷,0
67,89688.48,9402.47,628,7,0.574,0,消费,1
49,73135.02,10259.57,630,2,0.513,0,创业,0
